what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350418064073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1350418064694
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1350418067555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350418071792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350418101424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350418114961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350418118008
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350418118631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350418128595
opened,view,ccw.core,0.9.0.STABLE001,"ccw.view.repl",1350418132972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350418133016
activated,view,ccw.core,0.9.0.STABLE001,"ccw.view.repl",1350418133040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1350418140264
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1350418153861
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1350418160432
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepInto",1350418160534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350418169332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350418172900
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350418172938
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepInto",1350418174719
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1350418178950
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepInto",1350418179046
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepInto",1350418182318
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350418183403
error,log,,,"Core exception while retrieving the content description",1350418183779
error,log,,,"Core exception while retrieving the content description",1350418183780
error,log,,,"Core exception while retrieving the content description",1350418183782
error,log,,,"Core exception while retrieving the content description",1350418183783
error,log,,,"Core exception while retrieving the content description",1350418183789
error,log,,,"Core exception while retrieving the content description",1350418183790
error,log,,,"Core exception while retrieving the content description",1350418183792
error,log,,,"Core exception while retrieving the content description",1350418183794
error,log,,,"Core exception while retrieving the content description",1350418183800
error,log,,,"Core exception while retrieving the content description",1350418183801
error,log,,,"Core exception while retrieving the content description",1350418183803
error,log,,,"Core exception while retrieving the content description",1350418183804
error,log,,,"Core exception while retrieving the content description",1350418183820
error,log,,,"Core exception while retrieving the content description",1350418183822
error,log,,,"Core exception while retrieving the content description",1350418183823
error,log,,,"Core exception while retrieving the content description",1350418183826
error,log,,,"Core exception while retrieving the content description",1350418183834
error,log,,,"Core exception while retrieving the content description",1350418183835
error,log,,,"Core exception while retrieving the content description",1350418183837
error,log,,,"Core exception while retrieving the content description",1350418183838
error,log,,,"Core exception while retrieving the content description",1350418183846
error,log,,,"Core exception while retrieving the content description",1350418183848
error,log,,,"Core exception while retrieving the content description",1350418183849
error,log,,,"Core exception while retrieving the content description",1350418183850
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepInto",1350418184975
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1350418186196
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1350418186245
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350418186896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1350418187031
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350418191039
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350418191594
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350418238894
activated,view,ccw.core,0.9.0.STABLE001,"ccw.view.repl",1350418241607
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1350418241715
opened,view,ccw.core,0.9.0.STABLE001,"ccw.view.namespacebrowser",1350418241778
error,log,,,"Unhandled event loop exception",1350418244175
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350418245893
closed,view,ccw.core,0.9.0.STABLE001,"ccw.view.repl",1350418245901
